date,ticker,open,high,low,close
2017/12/30,ADA,0.4955,0.6941,0.42,0.59
2018/1/30,ADA,0.5904,0.603,0.5,0.525
2018/2/28,ADA,0.3306,0.3322,0.306,0.3083
2018/3/28,ADA,0.1569,0.1622,0.1519,0.1573
2018/4/28,ADA,0.2897,0.3633,0.282,0.3458
2018/5/28,ADA,0.1906,0.1942,0.1759,0.1759
2018/6/28,ADA,0.1262,0.1287,0.1209,0.1209
2018/7/28,ADA,0.1689,0.1691,0.1593,0.1621
2018/8/28,ADA,0.09749,0.1074,0.09741,0.1049
2018/9/28,ADA,0.0874,0.09,0.083,0.08425
2018/10/28,ADA,0.07416,0.07559,0.0725,0.07349
2018/11/28,ADA,0.03663,0.04787,0.03587,0.04119
2018/12/28,ADA,0.03612,0.04301,0.03599,0.04121
2019/1/28,ADA,0.04121,0.04134,0.03674,0.03825
2019/2/28,ADA,0.04248,0.04452,0.04247,0.0434
2019/3/28,ADA,0.06684,0.06718,0.06361,0.06556
2019/4/28,ADA,0.06926,0.07228,0.06816,0.06878
2019/5/28,ADA,0.08965,0.09231,0.08709,0.09149
2019/6/28,ADA,0.08594,0.08923,0.08336,0.08815
2019/7/28,ADA,0.06029,0.06105,0.05821,0.05847
2019/8/28,ADA,0.04889,0.0504,0.04535,0.04598
2019/9/28,ADA,0.03942,0.04086,0.03823,0.03858
2019/10/28,ADA,0.04246,0.04472,0.04202,0.04328
2019/11/28,ADA,0.03917,0.04077,0.0385,0.03872
2019/12/28,ADA,0.03368,0.03484,0.03284,0.0337
2020/1/28,ADA,0.04798,0.05448,0.04756,0.05224
2020/2/28,ADA,0.05007,0.05272,0.04613,0.04953
2020/3/28,ADA,0.03022,0.03022,0.02788,0.02953
2020/4/28,ADA,0.04544,0.04806,0.04523,0.04714
2020/5/28,ADA,0.05469,0.06385,0.05459,0.06338
2020/6/28,ADA,0.07817,0.08104,0.07609,0.08067
2020/7/28,ADA,0.1372,0.1492,0.1348,0.1484
2020/8/28,ADA,0.1059,0.1115,0.1051,0.1091
